"Komentarz","Sentyment"
"Długo czekałem, ale przynajmniej pani była uprzejma.","False"
"Rewelacyjna obsługa, takich ludzi więcej!","True"
"Urzędnik nawet nie podniósł wzroku znad biurka.","False"
"Sprawnie załatwione, bez żadnych komplikacji.","True"
"Totalna porażka, strata czasu.","False"
"Pani w okienku bardzo sympatyczna, aż miło.","True"
"Nie wiedzą, co robią, a jeszcze się obrażają.","False"
"Świetne podejście do człowieka, pełna kultura.","True"
"Kolejki jak za komuny, zero szacunku.","False"
"Obsługa na medal, szybko i konkretnie.","True"
"Żadnej pomocy, tylko odsyłanie od drzwi do drzwi.","False"
"Pani urzędniczka uśmiechnięta i pomocna.","True"
"Kompletny brak organizacji, wstyd.","False"
"Super, że tak dobrze traktują petentów.","True"
"Czekałem dwie godziny na nic.","False"
"Obsługa rewelacyjna, zero stresu.","True"
"Urzędnik nie miał pojęcia, o co pytam.","False"
"Miło, szybko i profesjonalnie – polecam!","True"
"Pani rzuciła papierami i kazała przyjść jutro.","False"
"Bez zarzutu, wszystko załatwione w mig.","True"
"Totalny bałagan, nikt nic nie wie.","False"
"Obsługa bardzo uprzejma, aż się zdziwiłem.","True"
"Zero zainteresowania, traktują jak śmiecia.","False"
"Sprawnie i z klasą, takich urzędów potrzeba.","True"
"Godzina w kolejce, a potem odmowa bez powodu.","False"
"Pani bardzo pomocna, rozwiązała mój problem.","True"
"Masakra, najgorsza obsługa w życiu.","False"
"Świetnie zorganizowane, petent jest tu ważny.","True"
"Urzędnik olał sprawę, musiałem sam kombinować.","False"
"Obsługa na najwyższym poziomie, brawo!","True"
"Dwie godziny czekania na głupi podpis.","False"
"Pani w okienku miła i kompetentna.","True"
"Chaos i brak szacunku, nigdy więcej tam nie idę.","False"
"Szybko załatwione, urzędnik bardzo pomocny.","True"
"Zero informacji, zero pomocy.","False"
"Rewelacja, obsługa z uśmiechem i klasą.","True"
"Urzędnicy nie wiedzą, co robią.","False"
"Prosto i przyjemnie, aż miło załatwiać sprawy.","True"
"Kolejka na godzinę, a potem jeszcze pretensje.","False"
"Obsługa świetna, pełen szacunek dla petenta.","True"
"Kompletna ignorancja, strata czasu.","False"
"Miła pani wszystko wyjaśniła, super!","True"
"Tragedia, nikt nie chce pomóc.","False"
"Sprawnie i konkretnie, takich urzędów więcej.","True"
"Urzędnik patrzył na mnie jak na idiotę.","False"
"Obsługa na poziomie, bardzo pozytywnie.","True"
"Długie czekanie, zero przeprosin.","False"
"Pani w okienku rewelacyjna, pomogła od razu.","True"
"Bałagan i chamstwo, najgorszy urząd.","False"
"Świetna obsługa, szybko i bez problemów.","True"
"Zero organizacji, petent nikogo nie obchodzi.","False"
"Obsługa miła i profesjonalna, aż miło.","True"
"Trzy godziny czekania na nic.","False"
"Pani wyjaśniła wszystko krok po kroku, rewelacja!","True"
"Zero porządku, każdy odsyła gdzie indziej.","False"
"Obsługa konkretna, załatwili sprawę od razu.","True"
"Czekałem godzinę, a potem powiedzieli, że brak dokumentów.","False"
"Sympatyczna urzędniczka, aż przyjemnie załatwiać.","True"
"Kompletna dezorganizacja, nikt nie wie, co jest grane.","False"
"Szybko i bez komplikacji, pełen szacunek.","True"
"Pani w okienku warknęła i kazała czekać.","False"
"Świetne podejście, urzędnik sam sprawdził szczegóły.","True"
"Godziny w kolejce, a na koniec brak pomocy.","False"
"Obsługa na wysokim poziomie, aż się zdziwiłem.","True"
"Urzędnik nie wiedział, gdzie mnie skierować.","False"
"Prosto i miło, takich ludzi potrzeba w urzędach.","True"
"Kolejka bez sensu, a obsługa jeszcze gorsza.","False"
"Pani bardzo uprzejma, rozwiązała problem w minutę.","True"
"Brak jakiejkolwiek informacji, chaos totalny.","False"
"Super obsługa, petent czuje się doceniony.","True"
"Dwie godziny czekania, a potem odmowa bez wyjaśnienia.","False"
"Urzędniczka z uśmiechem, aż miło odwiedzić urząd.","True"
"Zero kompetencji, strata czasu.","False"
"Szybko załatwione, pełen profesjonalizm.","True"
"Pani rzuciła okiem i odesłała mnie do innego pokoju.","False"
"Obsługa fantastyczna, wszystko jasne i klarowne.","True"
"Czekanie bez końca, a potem brak przeprosin.","False"
"Miłe zaskoczenie, urzędnik naprawdę pomocny.","True"
"Urzędnicy olewają petentów, zero szacunku.","False"
"Sprawnie i z klasą, takich urzędów więcej!","True"
"Godzinne stanie w kolejce na darmo.","False"
"Pani w okienku bardzo sympatyczna, aż dziw.","True"
"Totalny brak organizacji, każdy mówi co innego.","False"
"Obsługa na medal, petent jest tu ważny.","True"
"Urzędnik nawet nie słuchał, co mówię.","False"
"Szybko i konkretnie, żadnych problemów.","True"
"Kolejka na pół dnia, a obsługa opryskliwa.","False"
"Rewelacyjne podejście, pani sama zaproponowała rozwiązanie.","True"
"Zero informacji, musiałem sam biegać po urzędzie.","False"
"Świetna obsługa, załatwili sprawę w mig.","True"
"Pani w okienku patrzyła na mnie jak na wroga.","False"
"Proste i przyjemne załatwienie sprawy.","True"
"Chamstwo i ignorancja na każdym kroku.","False"
"Obsługa pierwsza klasa, pełen komfort.","True"
"Czekałem godzinę, żeby usłyszeć, że to nie tu.","False"
"Pani urzędniczka miła i kompetentna, brawo!","True"
"Brak porządku, nikt nie wie, co robić.","False"
"Szybko, uprzejmie i bez stresu.","True"
"Urzędnik nie miał pojęcia, o co pytam.","False"
"Obsługa rewelacyjna, aż miło wracać.","True"
"Kolejki jak za dawnych lat, zero szacunku.","False"
"Pani bardzo pomocna, wszystko wyjaśnione.","True"
"Totalna porażka, nikt nie chce pomóc.","False"
